,Provincias,Ramas de actividad,periodo,Total,id
919,Lleida,Impuestos netos sobre los productos,2020,1.008.276,25
920,Lleida,Impuestos netos sobre los productos,2019,1.176.250,25
921,Lleida,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,12.558.913,25
922,Lleida,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,11.521.909,25
923,Lleida,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,12.641.158,25
924,Lugo,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,7.395.362,27
925,Lugo,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,6.891.215,27
926,Lugo,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,7.763.915,27
927,Lugo,"A. Agricultura, ganadería, silvicultura y pesca",2021,647.279,27
928,Lugo,"A. Agricultura, ganadería, silvicultura y pesca",2020,653.364,27
929,Lugo,"A. Agricultura, ganadería, silvicultura y pesca",2019,716.511,27
930,Lugo,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2021,866.820,27
931,Lugo,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,774.232,27
932,Lugo,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2019,1.043.134,27
933,Lugo,C. - De las cuales: Industria manufacturera,2021,475.584,27
934,Lugo,C. - De las cuales: Industria manufacturera,2020,441.422,27
935,Lugo,C. - De las cuales: Industria manufacturera,2019,622.456,27
936,Lugo,F. Construcción,2021,399.301,27
937,Lugo,F. Construcción,2020,391.320,27
938,Lugo,F. Construcción,2019,439.896,27
939,Lugo,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2021,1.781.960,27
940,Lugo,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,1.572.441,27
941,Lugo,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2019,1.885.830,27
942,Lugo,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2021,1.294.058,27
943,Lugo,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,1.245.507,27
944,Lugo,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2019,1.263.369,27
945,Lugo,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2021,1.701.452,27
946,Lugo,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,1.651.304,27
947,Lugo,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2019,1.692.749,27
948,Lugo,Valor añadido bruto total,2021,6.690.870,27
949,Lugo,Valor añadido bruto total,2020,6.288.168,27
950,Lugo,Valor añadido bruto total,2019,7.041.489,27
951,Lugo,Impuestos netos sobre los productos,2021,704.492,27
952,Lugo,Impuestos netos sobre los productos,2020,603.047,27
